file	comment_only_lines	blocks	HIST_lines	DATE_lines	PHASE_lines	VERSION_lines	PR_lines	USER_lines	MEASURE_lines	TODO_blocks	DEADCODE_lines	any_history_marker_lines	essay_blocks_ge8	essay_lines	missing_file_refs	line_cites	unknown_ident_refs
optimizer_core.js	3435	671	1598	318	1696	141	0	176	643	2	2	398	125	2199	9	6	4
optimizer_ui.js	2753	871	823	246	855	28	0	250	201	2	0	382	68	817	3	0	0
taxengine.js	467	248	124	0	55	57	0	0	140	1	0	27	13	245	1	0	0
taxPaymentPlanner.js	648	185	265	0	72	0	0	0	34	0	0	49	18	280	1	0	0
montecarlo/mc_tab.js	773	280	227	34	166	12	0	17	4	1	0	98	14	139	0	0	0
montecarlo/mc_engine.js	217	74	65	0	80	0	0	0	6	0	0	34	5	57	0	0	0
montecarlo/rails_engine.js	273	56	107	123	138	0	0	107	0	1	0	24	7	176	0	0	0
montecarlo/prng.js	247	55	104	0	31	0	0	0	27	1	0	19	12	144	0	0	0
montecarlo/mc_controller.js	87	24	35	0	9	0	0	0	41	0	0	8	2	32	0	0	0
montecarlo/stats.js	13	4	6	0	6	0	0	0	0	0	0	1	0	0	0	0	0
montecarlo/worker.js	19	6	11	0	1	0	0	0	3	0	0	3	0	0	1	0	0
feedback.js	93	45	12	0	0	0	0	0	0	0	0	3	2	32	0	0	0
doclinks.js	65	20	31	0	0	0	0	0	0	0	0	2	2	31	2	1	0
displayhelpers.js	42	27	12	0	12	0	0	0	15	0	0	2	1	12	0	0	0
other_tools.js	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
retirement_optimizer.html	97	38	29	0	20	16	0	0	0	0	0	14	2	33	0	0	0
RetirementTaxPlanner.html	128	39	30	0	21	0	0	0	16	3	0	10	2	62	0	0	0
Retirement_Projection.html	109	114	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0
standalone/IncomeTaxPlanner.html	122	77	23	0	1	0	0	0	20	0	0	3	1	20	1	0	0
standalone/RealReturns.html	49	40	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
standalone/AfterTaxRealGrowth.html	9	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
standalone/FutureCost.html	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
standalone/HYSA.html	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
standalone/irmaa_and_rmds.html	21	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
.feedback-worker/src/logic.cjs	59	33	0	0	0	0	0	0	0	0	0	0	1	14	0	0	0
.feedback-worker/local-server.cjs	15	6	0	0	0	0	0	0	0	0	0	0	1	10	0	1	0
.githooks/md-html-scan.js	73	7	52	70	0	0	0	0	51	0	5	6	2	70	1	1	0
sweep_golden.gen.js	18	3	0	0	0	0	0	0	0	0	0	0	1	13	0	0	0
sweep_golden.import.js	40	2	0	0	0	0	0	0	0	0	0	0	1	38	0	1	0
optimizer_core.tests.js	2459	916	968	171	837	17	111	18	342	1	0	380	45	620	3	10	0
optimizer_tests.js	744	343	250	83	143	49	0	44	15	1	0	102	20	228	0	0	0
taxengine.tests.js	333	129	88	0	0	29	0	0	44	0	0	15	7	96	0	0	0
taxPaymentPlanner.tests.js	365	179	117	29	88	0	0	5	32	1	0	54	1	29	0	0	0
feedback.tests.js	39	17	0	0	0	0	0	0	0	0	0	0	1	23	0	0	0
doclinks.tests.js	119	34	48	15	0	27	0	0	0	0	0	9	5	78	4	0	0
