value	comparisons	files	per_file	examples
"bracket"	23	4	optimizer_core.js=10 optimizer_ui.js=6 montecarlo/mc_tab.js=2 Retirement_Projection.html=5	optimizer_core.js:1989 optimizer_core.js:2025 optimizer_core.js:2839 optimizer_core.js:2869 optimizer_core.js:2991 optimizer_core.js:5888
"rbg"	20	4	optimizer_core.js=7 optimizer_ui.js=9 montecarlo/mc_tab.js=3 montecarlo/rails_engine.js=1	optimizer_core.js:1405 optimizer_core.js:1406 optimizer_core.js:1409 optimizer_core.js:2399 optimizer_core.js:2405 optimizer_core.js:6155
"gk"	18	4	optimizer_core.js=8 optimizer_ui.js=6 montecarlo/mc_tab.js=3 montecarlo/rails_engine.js=1	optimizer_core.js:1405 optimizer_core.js:1406 optimizer_core.js:1409 optimizer_core.js:2373 optimizer_core.js:2405 optimizer_core.js:4885
"aca"	15	3	optimizer_core.js=8 optimizer_ui.js=6 montecarlo/mc_tab.js=1	optimizer_core.js:1981 optimizer_core.js:2515 optimizer_core.js:2596 optimizer_core.js:2765 optimizer_core.js:2983 optimizer_core.js:3020
"none"	13	3	optimizer_core.js=2 optimizer_ui.js=8 Retirement_Projection.html=3	optimizer_core.js:181 optimizer_core.js:4106 optimizer_ui.js:4024 optimizer_ui.js:6165 optimizer_ui.js:8677 optimizer_ui.js:8684
"MFJ"	13	4	optimizer_core.js=1 optimizer_ui.js=2 taxengine.js=5 standalone/IncomeTaxPlanner.html=5	optimizer_core.js:1645 optimizer_ui.js:8615 optimizer_ui.js:9363 taxengine.js:1292 taxengine.js:1294 taxengine.js:1305
"—"	12	1	optimizer_ui.js=12	optimizer_ui.js:481 optimizer_ui.js:481 optimizer_ui.js:3121 optimizer_ui.js:3125 optimizer_ui.js:4343 optimizer_ui.js:4361
"1"	11	4	optimizer_ui.js=1 RetirementTaxPlanner.html=1 Retirement_Projection.html=8 standalone/IncomeTaxPlanner.html=1	optimizer_ui.js:7311 RetirementTaxPlanner.html:1132 Retirement_Projection.html:2056 Retirement_Projection.html:2059 Retirement_Projection.html:2074 Retirement_Projection.html:2077
"fixedpct"	10	3	optimizer_core.js=7 optimizer_ui.js=2 montecarlo/mc_tab.js=1	optimizer_core.js:1989 optimizer_core.js:2549 optimizer_core.js:2889 optimizer_core.js:3030 optimizer_core.js:6182 optimizer_core.js:6231
"asc"	10	3	optimizer_core.js=1 optimizer_ui.js=3 montecarlo/mc_tab.js=6	optimizer_core.js:6354 optimizer_ui.js:2226 optimizer_ui.js:2280 optimizer_ui.js:2688 montecarlo/mc_tab.js:1671 montecarlo/mc_tab.js:1694
"stress"	10	1	montecarlo/mc_engine.js=10	montecarlo/mc_engine.js:73 montecarlo/mc_engine.js:94 montecarlo/mc_engine.js:126 montecarlo/mc_engine.js:266 montecarlo/mc_engine.js:507 montecarlo/mc_engine.js:561
"no"	10	2	Retirement_Projection.html=4 standalone/IncomeTaxPlanner.html=6	Retirement_Projection.html:959 Retirement_Projection.html:2238 Retirement_Projection.html:2238 Retirement_Projection.html:2243 standalone/IncomeTaxPlanner.html:1157 standalone/IncomeTaxPlanner.html:1252
"dollars"	10	1	standalone/IncomeTaxPlanner.html=10	standalone/IncomeTaxPlanner.html:655 standalone/IncomeTaxPlanner.html:659 standalone/IncomeTaxPlanner.html:660 standalone/IncomeTaxPlanner.html:664 standalone/IncomeTaxPlanner.html:665 standalone/IncomeTaxPlanner.html:792
"ordered"	9	3	optimizer_core.js=4 optimizer_ui.js=4 montecarlo/mc_tab.js=1	optimizer_core.js:1996 optimizer_core.js:3070 optimizer_core.js:6183 optimizer_core.js:7027 optimizer_ui.js:2755 optimizer_ui.js:6995
"fixed"	9	3	optimizer_core.js=6 optimizer_ui.js=2 montecarlo/mc_tab.js=1	optimizer_core.js:2549 optimizer_core.js:2563 optimizer_core.js:2916 optimizer_core.js:6175 optimizer_core.js:6216 optimizer_core.js:7025
"split"	9	2	optimizer_core.js=6 optimizer_ui.js=3	optimizer_core.js:3040 optimizer_core.js:3252 optimizer_core.js:6189 optimizer_core.js:6237 optimizer_core.js:6912 optimizer_core.js:7028
"block"	9	4	optimizer_ui.js=3 RetirementTaxPlanner.html=2 Retirement_Projection.html=2 standalone/IncomeTaxPlanner.html=2	optimizer_ui.js:1885 optimizer_ui.js:7196 optimizer_ui.js:7224 RetirementTaxPlanner.html:667 RetirementTaxPlanner.html:694 Retirement_Projection.html:2125
"bootstrap"	9	3	montecarlo/mc_tab.js=3 montecarlo/mc_engine.js=5 montecarlo/rails_engine.js=1	montecarlo/mc_tab.js:248 montecarlo/mc_tab.js:354 montecarlo/mc_tab.js:363 montecarlo/mc_engine.js:73 montecarlo/mc_engine.js:94 montecarlo/mc_engine.js:126
"Brokerage"	8	1	optimizer_core.js=8	optimizer_core.js:490 optimizer_core.js:514 optimizer_core.js:562 optimizer_core.js:610 optimizer_core.js:2631 optimizer_core.js:3818
"propwd"	8	3	optimizer_core.js=5 optimizer_ui.js=2 montecarlo/mc_tab.js=1	optimizer_core.js:2563 optimizer_core.js:3056 optimizer_core.js:6174 optimizer_core.js:6210 optimizer_core.js:7024 optimizer_ui.js:2719
