file	lines	code_lines	comment_lines	blank_lines	comment_pct_of_nonblank	comment_blocks	blocks_ge_8_lines	nums_total	nums_logic	nums_namedconst	nums_data
.feedback-worker/local-server.cjs	141	113	15	13	11.7	6	1	4	4	0	0
.feedback-worker/src/index.js	26	18	5	3	21.7	2	0	0	0	0	0
.feedback-worker/src/logic.cjs	553	432	58	63	11.8	33	1	50	36	0	14
.githooks/md-html-scan.js	151	67	73	11	52.1	7	2	0	0	0	0
.test_harnesses/betr_harness.js	303	181	97	25	34.9	15	2	64	54	0	10
.test_harnesses/conversion_frontier_harness.js	213	149	49	15	24.7	6	1	106	34	1	71
.test_harnesses/conversion_value_general_harness.js	311	231	63	17	21.4	8	1	102	27	2	73
.test_harnesses/conversion_value_harness.js	340	224	92	24	29.1	19	1	57	50	2	5
.test_harnesses/convtiming_harness.js	737	523	179	35	25.5	47	3	136	58	1	77
.test_harnesses/endgame_harness.js	352	275	60	17	17.9	15	1	95	52	0	43
.test_harnesses/gk_drawrule_harness.js	177	121	44	12	26.7	4	1	87	19	0	68
.test_harnesses/gk_drawrule_mc_harness.js	186	124	53	9	29.9	5	1	99	19	1	79
.test_harnesses/magi_edge_gate_harness.js	200	141	47	12	25.0	3	2	100	32	0	68
.test_harnesses/oracle_crosscheck.js	373	288	64	21	18.2	13	1	138	68	1	69
.test_harnesses/oracle_harness.js	528	402	109	17	21.3	36	2	158	80	0	78
.test_harnesses/phased_harness.js	472	362	86	24	19.2	31	2	127	62	0	65
.test_harnesses/rails_parallel_bench.js	118	85	22	11	20.6	2	1	14	13	0	1
.test_harnesses/rails_precision_harness.js	944	771	127	46	14.1	43	1	127	94	6	27
.test_harnesses/rbg_grid_harness.js	258	207	40	11	16.2	12	1	38	36	0	2
.test_harnesses/rbg_harness.js	686	442	208	36	32.0	30	5	228	214	2	12
.test_harnesses/rbg_playback_harness.js	411	322	69	20	17.6	22	1	25	22	1	2
.test_harnesses/schedule_oracle_harness.js	300	236	48	16	16.9	8	1	117	38	0	79
.test_harnesses/schedule_replay_harness.js	164	112	42	10	27.3	3	1	54	14	0	40
.test_harnesses/spend_objective_harness.js	205	141	52	12	26.9	6	1	79	18	0	61
.test_harnesses/split_expressiveness_harness.js	310	201	85	24	29.7	13	1	112	43	0	69
.test_harnesses/split_fine_harness.js	354	238	95	21	28.5	19	1	113	49	0	64
.test_harnesses/split_mc_harness.js	311	221	76	14	25.6	13	1	135	44	1	90
.test_harnesses/stopyear_stability_harness.js	486	344	115	27	25.1	20	1	118	91	0	27
.test_harnesses/taxattrib_harness.js	85	52	28	5	35.0	1	1	26	26	0	0
.test_harnesses/timingmode_harness.js	133	82	43	8	34.4	4	1	9	9	0	0
.test_harnesses/which_plan.js	76	46	21	9	31.3	2	1	12	12	0	0
RetirementTaxPlanner.html	1214	994	144	76	12.7	39	2	28	28	0	0
Retirement_Projection.html	2498	2162	106	230	4.7	114	1	281	108	3	170
_includes/head-custom.html	55	31	16	8	34.0	0	0	0	0	0	0
displayhelpers.js	218	149	42	27	22.0	27	1	11	8	0	3
doclinks.js	215	125	65	25	34.2	20	2	1	1	0	0
doclinks.tests.js	462	291	119	52	29.0	34	5	3	3	0	0
feedback.js	916	755	92	69	10.9	45	2	39	19	0	20
feedback.tests.js	925	795	39	91	4.7	17	1	78	76	0	2
montecarlo/mc_controller.js	231	117	87	27	42.6	24	2	6	3	0	3
montecarlo/mc_engine.js	752	483	217	52	31.0	74	5	22	16	1	5
montecarlo/mc_tab.js	2768	1758	773	237	30.5	280	14	151	91	1	59
montecarlo/prng.js	596	303	247	46	44.9	55	12	39	19	7	13
montecarlo/rails_engine.js	797	493	273	31	35.6	56	7	21	7	6	8
montecarlo/stats.js	66	47	13	6	21.7	4	0	8	8	0	0
montecarlo/worker.js	49	25	19	5	43.2	6	0	2	2	0	0
optimizer_core.js	7320	3429	3435	456	50.0	671	125	284	194	14	76
optimizer_core.tests.js	9754	6609	2458	687	27.1	916	45	3393	2041	9	1343
optimizer_tests.js	3683	2691	743	249	21.6	343	20	891	342	0	549
optimizer_ui.js	9538	6176	2752	610	30.8	871	68	332	294	4	34
other_tools.js	257	232	6	19	2.5	4	0	0	0	0	0
retirement_optimizer.html	1983	1462	443	78	23.3	38	2	13	12	0	1
standalone/AfterTaxRealGrowth.html	881	781	10	90	1.3	10	0	45	21	0	24
standalone/FutureCost.html	731	619	10	102	1.6	8	0	32	19	0	13
standalone/HYSA.html	669	604	21	44	3.4	16	0	59	23	2	34
standalone/IncomeTaxPlanner.html	1636	1378	129	129	8.6	77	1	145	86	4	55
standalone/RealReturns.html	1033	910	51	72	5.3	40	0	104	83	2	19
standalone/irmaa_and_rmds.html	396	329	22	45	6.3	14	0	4	4	0	0
sweep_golden.gen.js	90	60	18	12	23.1	3	1	0	0	0	0
sweep_golden.import.js	108	58	40	10	40.8	2	1	1	1	0	0
taxPaymentPlanner.js	3206	2365	648	193	21.5	185	18	151	78	5	68
taxPaymentPlanner.tests.js	1741	1220	365	156	23.0	179	1	583	325	0	258
taxengine.js	1839	1250	467	122	27.2	248	13	837	28	0	809
taxengine.tests.js	1225	744	333	148	30.9	129	7	404	194	1	209
